sub,fb_condition,efficacy,rt,cor
6a,positivefb,eff,700,1
6a,positivefb,noneff,874,0
6a,positivefb,eff,651,1
6a,positivefb,eff,1090,1
6a,positivefb,noneff,815,1
6a,positivefb,eff,1060,0
6a,positivefb,eff,717,1
6a,positivefb,eff,850,1
6a,positivefb,eff,1286,1
6a,positivefb,noneff,859,1
6a,positivefb,eff,838,1
6a,positivefb,eff,1446,1
6a,positivefb,eff,684,1
6a,positivefb,noneff,809,1
6a,positivefb,eff,780,1
6a,positivefb,noneff,695,1
6a,positivefb,noneff,851,1
6a,positivefb,noneff,803,1
6a,positivefb,noneff,575,1
6a,positivefb,noneff,677,0
6a,positivefb,noneff,739,0
6a,positivefb,noneff,595,1
6a,positivefb,eff,673,1
6a,positivefb,noneff,629,1
6a,positivefb,noneff,621,1
6a,positivefb,noneff,598,1
6a,positivefb,eff,524,1
6a,positivefb,noneff,558,0
6a,positivefb,eff,660,0
6a,positivefb,noneff,570,0
6a,positivefb,eff,511,1
6a,positivefb,eff,570,1
6a,positivefb,noneff,593,1
6a,positivefb,eff,748,1
6a,positivefb,eff,2013,1
6a,positivefb,eff,708,1
6a,positivefb,noneff,819,1
6a,positivefb,noneff,986,1
6a,positivefb,noneff,525,1
6a,positivefb,eff,660,0
6a,positivefb,eff,1178,1
6a,positivefb,eff,496,1
6a,positivefb,eff,1306,0
6a,positivefb,eff,569,1
6a,positivefb,noneff,643,1
6a,positivefb,eff,525,0
6a,positivefb,noneff,581,1
6a,positivefb,noneff,824,1
6a,positivefb,eff,607,0
6a,positivefb,noneff,1093,1
6a,positivefb,noneff,1911,0
6a,positivefb,noneff,590,1
6a,positivefb,noneff,707,1
6a,positivefb,noneff,776,1
6a,positivefb,eff,791,1
6a,positivefb,eff,693,1
6a,positivefb,eff,623,1
6a,positivefb,eff,734,1
6a,positivefb,noneff,830,1
6a,positivefb,noneff,1294,1
6a,positivefb,eff,530,1
6a,positivefb,noneff,529,1
6a,positivefb,eff,526,1
6a,positivefb,noneff,875,1
6a,positivefb,eff,1756,0
6a,positivefb,eff,523,0
6a,positivefb,eff,1743,1
6a,positivefb,eff,864,1
6a,positivefb,noneff,541,1
7a,negativefb,eff,2750,1
7a,negativefb,eff,3007,1
7a,negativefb,noneff,1405,1
7a,negativefb,noneff,1663,1
7a,negativefb,noneff,1931,1
7a,negativefb,eff,1125,1
7a,negativefb,eff,722,1
7a,negativefb,noneff,607,1
7a,negativefb,eff,691,1
7a,negativefb,noneff,887,1
7a,negativefb,eff,733,1
7a,negativefb,eff,1399,1
7a,negativefb,eff,779,1
7a,negativefb,noneff,2213,1
7a,negativefb,eff,1880,1
7a,negativefb,noneff,739,1
7a,negativefb,eff,1267,0
7a,negativefb,noneff,547,1
7a,negativefb,eff,755,1
7a,negativefb,eff,1393,0
7a,negativefb,noneff,1007,1
7a,negativefb,noneff,882,0
7a,negativefb,eff,1244,1
7a,negativefb,eff,670,1
7a,negativefb,noneff,732,1
7a,negativefb,eff,891,0
7a,negativefb,noneff,743,1
7a,negativefb,eff,707,1
7a,negativefb,noneff,852,1
7a,negativefb,noneff,1968,1
7a,negativefb,eff,652,1
7a,negativefb,noneff,601,1
7a,negativefb,noneff,733,0
7a,negativefb,eff,786,1
7a,negativefb,noneff,1035,1
7a,negativefb,noneff,756,1
7a,negativefb,eff,1056,1
7a,negativefb,noneff,790,1
7a,negativefb,eff,1191,1
7a,negativefb,eff,626,1
7a,negativefb,noneff,571,1
7a,negativefb,eff,786,1
7a,negativefb,eff,886,1
7a,negativefb,noneff,1144,1
7a,negativefb,eff,804,1
7a,negativefb,noneff,931,1
7a,negativefb,noneff,756,0
7a,negativefb,noneff,1121,1
7a,negativefb,noneff,652,0
7a,negativefb,noneff,574,1
7a,negativefb,eff,3273,1
7a,negativefb,noneff,1105,1
7a,negativefb,eff,1598,1
7a,negativefb,noneff,785,0
7a,negativefb,eff,707,0
7a,negativefb,noneff,484,1
7a,negativefb,noneff,890,0
7a,negativefb,noneff,802,0
7a,negativefb,eff,666,0
7a,negativefb,noneff,689,1
7a,negativefb,eff,794,0
7a,negativefb,noneff,805,1
7a,negativefb,eff,974,0
7a,negativefb,noneff,776,1
7a,negativefb,noneff,685,0
7a,negativefb,noneff,992,0
7a,negativefb,noneff,729,0
7a,negativefb,noneff,618,0
7a,negativefb,eff,541,1
7a,negativefb,eff,608,1
7a,negativefb,eff,1140,1
7a,negativefb,eff,675,0
7a,negativefb,noneff,723,0
7a,negativefb,eff,555,1
7a,negativefb,eff,600,1
7a,negativefb,noneff,504,1
7a,negativefb,noneff,643,1
7a,negativefb,noneff,570,1
7a,negativefb,eff,898,1
7a,negativefb,eff,677,1
7a,negativefb,noneff,764,0
7a,negativefb,eff,1205,1
7a,negativefb,eff,578,1
7a,negativefb,noneff,553,1
7a,negativefb,noneff,605,1
7a,negativefb,noneff,782,0
7a,negativefb,eff,665,0
7a,negativefb,noneff,585,1
7a,negativefb,noneff,1534,1
7a,negativefb,noneff,521,1
7a,negativefb,noneff,725,1
7a,negativefb,eff,1327,1
7a,negativefb,noneff,639,0
7a,negativefb,eff,653,1
7a,negativefb,eff,724,0
7a,negativefb,eff,1349,1
7a,negativefb,eff,1261,0
7a,negativefb,noneff,888,1
7a,negativefb,eff,634,1
7a,negativefb,eff,674,1
7a,negativefb,noneff,429,1
7a,negativefb,eff,734,1
7a,negativefb,noneff,1102,1
7a,negativefb,noneff,635,1
7a,negativefb,eff,671,1
7a,negativefb,noneff,1013,0
7a,negativefb,eff,692,1
7a,negativefb,eff,686,0
7a,negativefb,eff,991,0
7a,negativefb,noneff,1121,1
7a,negativefb,noneff,1357,0
7a,negativefb,noneff,1209,1
7a,negativefb,eff,801,1
7a,negativefb,noneff,758,1
7a,negativefb,noneff,1092,1
7a,negativefb,eff,613,1
7a,negativefb,noneff,2082,1
7a,negativefb,noneff,752,0
7a,negativefb,eff,916,1
7a,negativefb,noneff,813,1
7a,negativefb,noneff,619,1
7a,negativefb,eff,879,1
7a,negativefb,noneff,806,1
7a,negativefb,eff,806,0
7a,negativefb,eff,946,1
7a,negativefb,noneff,781,1
7a,negativefb,noneff,772,0
7a,negativefb,eff,691,1
7a,negativefb,noneff,648,1
7a,negativefb,eff,753,1
7a,negativefb,noneff,603,1
7a,negativefb,eff,609,1
7a,negativefb,noneff,627,1
7a,negativefb,eff,923,1
7a,negativefb,eff,613,0
7a,negativefb,eff,680,1
7a,negativefb,eff,700,0
7a,negativefb,noneff,659,1
7a,negativefb,noneff,791,0
7a,negativefb,eff,634,0
7a,negativefb,noneff,446,0
7a,negativefb,eff,603,0
7a,negativefb,eff,676,1
7a,negativefb,eff,661,1
7a,negativefb,noneff,573,1
7a,negativefb,eff,544,1
7a,negativefb,noneff,541,1
7a,negativefb,eff,479,1
7a,negativefb,eff,719,1
7a,negativefb,noneff,713,1
7a,positivefb,eff,853,1
7a,positivefb,noneff,704,0
7a,positivefb,eff,703,1
7a,positivefb,noneff,833,1
7a,positivefb,noneff,627,1
7a,positivefb,eff,627,1
7a,positivefb,noneff,975,1
7a,positivefb,eff,695,1
7a,positivefb,eff,676,1
7a,positivefb,eff,752,0
7a,positivefb,noneff,2626,1
7a,positivefb,eff,622,1
7a,positivefb,noneff,598,1
7a,positivefb,noneff,1077,1
7a,positivefb,noneff,643,1
7a,positivefb,noneff,555,1
7a,positivefb,eff,666,1
7a,positivefb,eff,611,1
7a,positivefb,eff,636,0
7a,positivefb,noneff,760,1
7a,positivefb,eff,495,1
7a,positivefb,eff,967,1
7a,positivefb,eff,689,1
7a,positivefb,eff,1292,1
7a,positivefb,eff,593,1
7a,positivefb,eff,811,1
7a,positivefb,noneff,579,1
7a,positivefb,noneff,526,1
7a,positivefb,eff,664,1
7a,positivefb,noneff,654,0
7a,positivefb,noneff,539,1
7a,positivefb,eff,649,0
7a,positivefb,noneff,695,1
7a,positivefb,eff,652,1
7a,positivefb,noneff,1104,0
7a,positivefb,noneff,1101,1
7a,positivefb,eff,752,0
7a,positivefb,noneff,1347,1
7a,positivefb,eff,1483,1
7a,positivefb,noneff,612,0
7a,positivefb,eff,620,1
7a,positivefb,eff,1380,0
7a,positivefb,noneff,618,1
7a,positivefb,eff,635,0
7a,positivefb,noneff,885,0
7a,positivefb,noneff,1785,0
7a,positivefb,eff,1323,1
7a,positivefb,noneff,806,1
7a,positivefb,eff,761,1
7a,positivefb,noneff,821,1
7a,positivefb,eff,1019,0
7a,positivefb,noneff,968,1
7a,positivefb,noneff,867,1
7a,positivefb,noneff,722,1
7a,positivefb,eff,914,1
7a,positivefb,noneff,674,1
7a,positivefb,eff,777,0
7a,positivefb,eff,660,1
7a,positivefb,eff,638,1
7a,positivefb,noneff,1580,1
7a,positivefb,eff,741,1
7a,positivefb,noneff,1141,1
7a,positivefb,noneff,1019,1
7a,positivefb,eff,708,1
7a,positivefb,noneff,664,1
7a,positivefb,noneff,802,0
7a,positivefb,eff,756,1
7a,positivefb,eff,769,1
7a,positivefb,eff,684,1
7a,positivefb,eff,1272,0
7a,positivefb,noneff,810,1
7a,positivefb,eff,644,1
7a,positivefb,noneff,1131,1
7a,positivefb,eff,1229,1
7a,positivefb,eff,591,1
7a,positivefb,eff,650,1
7a,positivefb,eff,733,1
7a,positivefb,eff,1346,0
7a,positivefb,noneff,994,1
7a,positivefb,noneff,569,0
7a,positivefb,eff,634,1
7a,positivefb,noneff,700,1
7a,positivefb,noneff,633,1
7a,positivefb,noneff,1376,1
7a,positivefb,eff,1089,1
7a,positivefb,eff,1101,0
7a,positivefb,eff,816,1
7a,positivefb,eff,1756,1
7a,positivefb,noneff,1113,0
7a,positivefb,noneff,2362,0
7a,positivefb,noneff,645,1
7a,positivefb,eff,844,1
7a,positivefb,noneff,1061,0
7a,positivefb,eff,1769,1
7a,positivefb,noneff,1460,1
7a,positivefb,noneff,1756,1
7a,positivefb,noneff,1116,0
7a,positivefb,noneff,947,0
7a,positivefb,eff,1266,0
7a,positivefb,noneff,1273,1
7a,positivefb,eff,912,0
7a,positivefb,noneff,872,1
7a,positivefb,eff,632,1
7a,positivefb,eff,694,1
7a,positivefb,noneff,640,1
7a,positivefb,noneff,801,0
7a,positivefb,eff,536,1
7a,positivefb,eff,1374,1
7a,positivefb,eff,1146,1
7a,positivefb,eff,838,1
7a,positivefb,eff,569,1
7a,positivefb,noneff,755,1
7a,positivefb,noneff,929,1
7a,positivefb,noneff,594,0
7a,positivefb,noneff,550,1
7a,positivefb,noneff,853,1
7a,positivefb,noneff,748,1
7a,positivefb,eff,771,1
7a,positivefb,noneff,853,1
7a,positivefb,noneff,1020,1
7a,positivefb,noneff,848,1
7a,positivefb,noneff,996,1
7a,positivefb,noneff,1437,1
7a,positivefb,eff,603,1
7a,positivefb,noneff,1054,1
7a,positivefb,eff,882,0
7a,positivefb,eff,2251,0
7a,positivefb,noneff,887,1
7a,positivefb,noneff,748,0
7a,positivefb,eff,564,0
7a,positivefb,noneff,910,1
7a,positivefb,eff,745,1
7a,positivefb,noneff,652,1
7a,positivefb,eff,998,0
7a,positivefb,noneff,1309,1
7a,positivefb,eff,663,1
7a,positivefb,eff,759,0
7a,positivefb,noneff,1496,1
7a,positivefb,eff,852,0
7a,positivefb,noneff,810,1
7a,positivefb,eff,725,1
7a,positivefb,eff,592,1
7a,positivefb,noneff,652,0
7a,positivefb,eff,947,1
7a,positivefb,noneff,1118,1
7a,positivefb,eff,1627,1
7a,positivefb,noneff,833,0
7a,positivefb,noneff,666,1
7a,positivefb,eff,1561,1
7a,positivefb,eff,872,1
8a,positivefb,noneff,2014,1
8a,positivefb,eff,847,1
8a,positivefb,noneff,2504,1
8a,positivefb,noneff,886,1
8a,positivefb,noneff,586,1
8a,positivefb,noneff,739,1
8a,positivefb,eff,901,1
8a,positivefb,noneff,828,1
8a,positivefb,eff,1062,1
8a,positivefb,noneff,699,1
8a,positivefb,eff,624,1
8a,positivefb,noneff,486,1
8a,positivefb,noneff,1046,0
8a,positivefb,eff,666,1
8a,positivefb,eff,607,1
8a,positivefb,eff,977,0
8a,positivefb,eff,562,1
8a,positivefb,eff,721,1
8a,positivefb,eff,645,1
8a,positivefb,noneff,668,1
8a,positivefb,noneff,705,1
8a,positivefb,noneff,630,1
8a,positivefb,eff,913,1
8a,positivefb,eff,747,0
8a,positivefb,eff,853,1
8a,positivefb,noneff,554,1
8a,positivefb,eff,598,1
8a,positivefb,noneff,731,1
8a,positivefb,eff,462,1
8a,positivefb,noneff,658,1
8a,positivefb,eff,505,1
8a,positivefb,noneff,602,1
8a,positivefb,noneff,560,0
8a,positivefb,eff,913,1
8a,positivefb,noneff,462,1
8a,positivefb,eff,480,1
8a,positivefb,eff,723,1
8a,positivefb,noneff,1121,1
8a,positivefb,noneff,738,1
8a,positivefb,eff,702,1
8a,positivefb,noneff,626,1
8a,positivefb,eff,958,0
8a,positivefb,eff,736,1
8a,positivefb,noneff,503,0
8a,positivefb,eff,858,1
8a,positivefb,noneff,754,1
8a,positivefb,noneff,514,1
8a,positivefb,noneff,1048,1
8a,positivefb,noneff,841,0
8a,positivefb,eff,905,1
8a,positivefb,noneff,765,1
8a,positivefb,noneff,727,1
8a,positivefb,eff,616,1
8a,positivefb,eff,628,1
8a,positivefb,eff,612,1
8a,positivefb,noneff,1182,1
8a,positivefb,noneff,1222,0
8a,positivefb,eff,809,0
8a,positivefb,noneff,884,0
8a,positivefb,noneff,901,1
8a,positivefb,noneff,564,1
8a,positivefb,eff,729,0
8a,positivefb,noneff,575,1
8a,positivefb,noneff,731,1
8a,positivefb,noneff,565,1
8a,positivefb,noneff,651,1
8a,positivefb,noneff,570,1
8a,positivefb,noneff,612,1
8a,positivefb,eff,539,1
8a,positivefb,noneff,895,1
8a,positivefb,eff,815,0
8a,positivefb,eff,1318,0
8a,positivefb,noneff,2697,1
8a,positivefb,eff,722,1
8a,positivefb,noneff,658,1
8a,positivefb,noneff,557,1
8a,positivefb,eff,543,1
8a,positivefb,eff,781,1
8a,positivefb,eff,693,1
8a,positivefb,eff,800,1
8a,positivefb,eff,656,1
8a,positivefb,eff,1293,0
8a,positivefb,noneff,480,1
8a,positivefb,noneff,1070,1
8a,positivefb,eff,427,1
8a,positivefb,noneff,899,0
8a,positivefb,noneff,1140,1
8a,positivefb,eff,385,1
8a,positivefb,eff,405,1
8a,positivefb,noneff,457,0
8a,positivefb,eff,716,1
8a,positivefb,noneff,722,1
8a,positivefb,eff,459,1
8a,positivefb,noneff,375,1
8a,positivefb,eff,702,0
8a,positivefb,eff,908,0
8a,positivefb,eff,570,1
8a,positivefb,eff,920,1
8a,positivefb,noneff,626,1
8a,positivefb,noneff,530,0
8a,positivefb,noneff,530,1
8a,positivefb,eff,808,1
8a,positivefb,noneff,722,1
8a,positivefb,eff,385,1
8a,positivefb,noneff,568,1
8a,positivefb,noneff,431,1
8a,positivefb,eff,465,0
8a,positivefb,eff,399,1
8a,positivefb,eff,1489,1
8a,positivefb,eff,507,1
8a,positivefb,eff,593,1
8a,positivefb,eff,521,1
8a,positivefb,noneff,855,1
8a,positivefb,eff,775,1
8a,positivefb,noneff,1671,0
8a,positivefb,eff,528,1
8a,positivefb,eff,2167,1
8a,positivefb,noneff,580,1
8a,positivefb,eff,1148,1
8a,positivefb,eff,472,1
8a,positivefb,noneff,1083,1
8a,positivefb,noneff,1004,0
8a,positivefb,noneff,534,1
8a,positivefb,eff,1189,1
8a,positivefb,noneff,1148,0
8a,positivefb,noneff,632,1
8a,positivefb,eff,498,1
8a,positivefb,noneff,1116,1
8a,positivefb,noneff,791,1
8a,positivefb,eff,800,1
8a,positivefb,eff,702,0
8a,positivefb,noneff,787,1
8a,positivefb,eff,3007,1
8a,positivefb,noneff,728,0
8a,positivefb,noneff,730,0
8a,positivefb,eff,656,1
8a,positivefb,noneff,822,1
8a,positivefb,eff,1085,1
8a,positivefb,noneff,807,0
8a,positivefb,eff,509,1
8a,positivefb,noneff,737,0
8a,positivefb,noneff,922,1
8a,positivefb,noneff,2255,1
8a,positivefb,eff,483,1
8a,positivefb,noneff,1186,1
8a,positivefb,eff,509,0
8a,positivefb,eff,590,0
8a,positivefb,noneff,514,0
8a,positivefb,noneff,977,1
8a,positivefb,eff,799,0
8a,negativefb,eff,499,1
8a,negativefb,noneff,690,0
8a,negativefb,eff,682,0
8a,negativefb,noneff,417,0
8a,negativefb,noneff,499,1
8a,negativefb,eff,432,1
8a,negativefb,noneff,439,1
8a,negativefb,noneff,535,1
8a,negativefb,noneff,350,1
8a,negativefb,eff,536,1
8a,negativefb,eff,899,0
8a,negativefb,eff,335,0
8a,negativefb,noneff,611,1
8a,negativefb,noneff,582,1
8a,negativefb,noneff,505,1
8a,negativefb,eff,803,1
8a,negativefb,noneff,420,0
8a,negativefb,eff,886,1
8a,negativefb,noneff,607,1
8a,negativefb,eff,591,1
8a,negativefb,eff,618,1
8a,negativefb,eff,501,1
8a,negativefb,noneff,561,1
8a,negativefb,noneff,741,1
8a,negativefb,eff,1746,1
8a,negativefb,eff,525,1
8a,negativefb,noneff,552,1
8a,negativefb,noneff,420,1
8a,negativefb,eff,587,1
8a,negativefb,eff,571,1
8a,negativefb,noneff,404,1
8a,negativefb,eff,491,1
8a,negativefb,noneff,479,1
8a,negativefb,eff,591,1
8a,negativefb,eff,655,1
8a,negativefb,eff,4962,1
8a,negativefb,eff,452,1
8a,negativefb,noneff,504,1
8a,negativefb,eff,526,0
8a,negativefb,eff,1127,1
8a,negativefb,eff,572,0
8a,negativefb,noneff,810,1
8a,negativefb,noneff,501,1
8a,negativefb,noneff,1493,1
8a,negativefb,noneff,439,1
8a,negativefb,eff,288,1
8a,negativefb,noneff,463,1
8a,negativefb,noneff,372,1
8a,negativefb,noneff,319,1
8a,negativefb,eff,543,1
8a,negativefb,eff,438,1
8a,negativefb,noneff,625,1
8a,negativefb,eff,1003,0
8a,negativefb,eff,494,1
8a,negativefb,noneff,455,1
8a,negativefb,eff,442,1
8a,negativefb,eff,390,1
8a,negativefb,noneff,474,0
8a,negativefb,noneff,413,1
8a,negativefb,eff,520,1
8a,negativefb,eff,414,1
8a,negativefb,noneff,381,1
8a,negativefb,eff,566,1
8a,negativefb,noneff,627,1
8a,negativefb,eff,368,0
8a,negativefb,noneff,603,1
8a,negativefb,eff,1569,1
8a,negativefb,noneff,602,1
8a,negativefb,eff,577,1
8a,negativefb,noneff,351,1
8a,negativefb,noneff,648,1
8a,negativefb,noneff,460,1
8a,negativefb,eff,446,1
8a,negativefb,eff,435,1
8a,negativefb,noneff,397,1
8a,negativefb,eff,395,0
8a,negativefb,noneff,1001,1
8a,negativefb,noneff,491,1
8a,negativefb,noneff,307,1
8a,negativefb,eff,391,1
8a,negativefb,noneff,406,1
8a,negativefb,noneff,471,1
8a,negativefb,noneff,500,1
8a,negativefb,eff,448,1
8a,negativefb,eff,470,1
8a,negativefb,eff,314,1
8a,negativefb,eff,982,0
8a,negativefb,noneff,441,1
8a,negativefb,noneff,381,1
8a,negativefb,eff,351,1
8a,negativefb,noneff,496,0
8a,negativefb,eff,436,0
8a,negativefb,noneff,418,1
8a,negativefb,noneff,495,1
8a,negativefb,noneff,599,1
8a,negativefb,eff,802,0
8a,negativefb,eff,354,1
8a,negativefb,eff,623,1
8a,negativefb,eff,592,1
8a,negativefb,noneff,1176,1
8a,negativefb,eff,548,1
8a,negativefb,noneff,519,1
8a,negativefb,noneff,478,1
8a,negativefb,noneff,524,1
8a,negativefb,eff,614,1
8a,negativefb,eff,499,1
8a,negativefb,eff,763,1
8a,negativefb,noneff,383,1
8a,negativefb,noneff,2761,1
8a,negativefb,eff,469,0
8a,negativefb,eff,651,1
8a,negativefb,eff,511,1
8a,negativefb,noneff,466,1
8a,negativefb,noneff,444,1
8a,negativefb,noneff,476,1
8a,negativefb,noneff,729,1
8a,negativefb,noneff,523,1
8a,negativefb,noneff,398,1
8a,negativefb,eff,689,1
8a,negativefb,eff,922,1
8a,negativefb,eff,476,1
8a,negativefb,eff,596,1
8a,negativefb,eff,318,1
8a,negativefb,eff,373,1
8a,negativefb,eff,318,0
8a,negativefb,noneff,468,1
8a,negativefb,eff,399,1
8a,negativefb,eff,730,1
8a,negativefb,noneff,539,1
8a,negativefb,eff,649,1
8a,negativefb,noneff,760,0
8a,negativefb,eff,392,1
8a,negativefb,eff,329,1
8a,negativefb,noneff,481,1
8a,negativefb,eff,396,0
8a,negativefb,eff,380,1
8a,negativefb,noneff,470,0
8a,negativefb,noneff,532,1
8a,negativefb,noneff,645,1
8a,negativefb,noneff,408,1
8a,negativefb,noneff,906,1
8a,negativefb,noneff,356,0
8a,negativefb,eff,606,1
8a,negativefb,noneff,407,0
8a,negativefb,noneff,597,1
8a,negativefb,eff,832,0
8a,negativefb,eff,406,0
8a,negativefb,eff,481,1
8a,negativefb,noneff,535,1
8a,negativefb,noneff,460,1
9a,positivefb,noneff,767,1
9a,positivefb,noneff,1500,1
9a,positivefb,eff,1017,0
9a,positivefb,noneff,1181,0
9a,positivefb,eff,1008,1
9a,positivefb,noneff,1034,1
9a,positivefb,eff,1769,0
9a,positivefb,eff,1006,1
9a,positivefb,eff,990,1
9a,positivefb,eff,841,1
9a,positivefb,noneff,980,0
9a,positivefb,noneff,813,1
9a,positivefb,noneff,797,1
9a,positivefb,noneff,987,1
9a,positivefb,eff,877,1
9a,positivefb,eff,885,0
9a,positivefb,noneff,1188,1
9a,positivefb,eff,880,0
9a,positivefb,noneff,1173,1
9a,positivefb,eff,743,1
9a,positivefb,noneff,496,1
9a,positivefb,noneff,861,1
9a,positivefb,eff,727,1
9a,positivefb,eff,1014,1
9a,positivefb,eff,1000,0
9a,positivefb,noneff,1036,1
9a,positivefb,noneff,1934,1
9a,positivefb,eff,1094,1
9a,positivefb,eff,775,1
9a,positivefb,eff,814,1
9a,positivefb,eff,986,1
9a,positivefb,eff,2229,1
9a,positivefb,eff,1222,1
9a,positivefb,eff,1551,1
9a,positivefb,eff,992,1
9a,positivefb,noneff,952,1
9a,positivefb,eff,957,1
9a,positivefb,noneff,1142,0
9a,positivefb,eff,772,1
9a,positivefb,noneff,863,1
9a,positivefb,eff,1012,1
9a,positivefb,noneff,1075,1
9a,positivefb,noneff,961,1
9a,positivefb,noneff,909,1
9a,positivefb,noneff,1509,1
9a,positivefb,noneff,948,1
9a,positivefb,noneff,2263,1
9a,positivefb,eff,932,1
9a,positivefb,noneff,865,1
9a,positivefb,noneff,1255,0
9a,positivefb,noneff,1092,1
9a,positivefb,noneff,1216,1
9a,positivefb,eff,979,1
9a,positivefb,noneff,937,1
9a,positivefb,eff,894,0
9a,positivefb,eff,709,1
9a,positivefb,eff,791,1
9a,positivefb,noneff,696,1
9a,positivefb,noneff,817,0
9a,positivefb,noneff,812,1
9a,positivefb,eff,967,1
9a,positivefb,eff,750,1
9a,positivefb,noneff,854,0
9a,positivefb,noneff,793,0
9a,positivefb,noneff,888,1
9a,positivefb,eff,1054,1
9a,positivefb,noneff,861,1
9a,positivefb,eff,756,1
9a,positivefb,eff,858,1
9a,positivefb,noneff,1133,1
9a,positivefb,noneff,1769,1
9a,positivefb,noneff,831,1
9a,positivefb,eff,1156,0
9a,positivefb,eff,972,0
9a,positivefb,noneff,806,1
9a,positivefb,eff,1531,1
9a,positivefb,noneff,724,1
9a,positivefb,noneff,851,1
9a,positivefb,eff,883,0
9a,positivefb,noneff,911,0
9a,positivefb,noneff,706,1
9a,positivefb,noneff,685,1
9a,positivefb,eff,872,1
9a,positivefb,noneff,1425,0
9a,positivefb,noneff,895,1
9a,positivefb,eff,713,0
9a,positivefb,eff,666,0
9a,positivefb,eff,696,0
9a,positivefb,eff,696,1
9a,positivefb,noneff,807,1
9a,positivefb,eff,862,1
9a,positivefb,noneff,870,1
9a,positivefb,noneff,843,1
9a,positivefb,eff,666,1
9a,positivefb,eff,674,1
9a,positivefb,noneff,1156,1
9a,positivefb,noneff,861,0
9a,positivefb,eff,831,1
9a,positivefb,eff,714,1
9a,positivefb,eff,603,1
9a,positivefb,eff,1078,1
9a,positivefb,eff,812,1
9a,positivefb,noneff,731,1
9a,positivefb,noneff,658,0
9a,positivefb,noneff,1109,1
9a,positivefb,eff,918,0
9a,positivefb,eff,933,1
9a,positivefb,eff,1327,0
9a,positivefb,noneff,765,1
9a,positivefb,noneff,946,1
9a,positivefb,eff,631,1
9a,positivefb,noneff,943,1
9a,positivefb,eff,1366,1
9a,positivefb,noneff,576,1
9a,positivefb,eff,788,1
9a,positivefb,eff,650,0
9a,positivefb,eff,883,1
9a,positivefb,eff,1336,1
9a,positivefb,noneff,860,1
9a,positivefb,eff,1627,0
9a,positivefb,eff,1136,0
9a,positivefb,eff,951,1
9a,positivefb,eff,741,1
9a,positivefb,eff,902,0
9a,positivefb,noneff,797,1
9a,positivefb,eff,1035,1
9a,positivefb,noneff,1382,1
9a,positivefb,eff,1134,1
9a,positivefb,eff,882,1
9a,positivefb,noneff,1025,1
9a,positivefb,noneff,817,0
9a,positivefb,eff,949,1
9a,positivefb,eff,1188,0
9a,positivefb,noneff,917,0
9a,positivefb,noneff,756,1
9a,positivefb,noneff,952,0
9a,positivefb,noneff,830,1
9a,positivefb,noneff,993,1
9a,positivefb,eff,932,1
9a,positivefb,noneff,964,1
9a,positivefb,noneff,800,1
9a,positivefb,noneff,951,1
9a,positivefb,eff,795,1
9a,positivefb,noneff,1411,0
9a,positivefb,eff,944,1
9a,positivefb,eff,828,1
9a,positivefb,noneff,873,1
9a,positivefb,noneff,807,1
9a,positivefb,noneff,1062,0
9a,positivefb,noneff,704,1
9a,negativefb,noneff,704,1
9a,negativefb,eff,663,1
9a,negativefb,noneff,625,0
9a,negativefb,noneff,787,0
9a,negativefb,noneff,605,0
9a,negativefb,eff,2175,0
9a,negativefb,noneff,595,1
9a,negativefb,eff,804,0
9a,negativefb,eff,828,1
9a,negativefb,noneff,749,1
9a,negativefb,eff,754,1
9a,negativefb,noneff,677,1
9a,negativefb,eff,759,1
9a,negativefb,eff,925,0
9a,negativefb,eff,1191,0
9a,negativefb,noneff,1125,0
9a,negativefb,noneff,1207,0
9a,negativefb,noneff,744,0
9a,negativefb,eff,1128,1
9a,negativefb,noneff,744,1
9a,negativefb,noneff,763,0
9a,negativefb,eff,778,1
9a,negativefb,noneff,724,0
9a,negativefb,noneff,798,1
9a,negativefb,noneff,901,1
9a,negativefb,noneff,849,0
9a,negativefb,noneff,902,1
9a,negativefb,noneff,828,0
9a,negativefb,eff,615,0
9a,negativefb,eff,1029,1
9a,negativefb,eff,641,1
9a,negativefb,eff,988,1
9a,negativefb,eff,738,1
9a,negativefb,eff,686,1
9a,negativefb,eff,877,0
9a,negativefb,noneff,661,1
9a,negativefb,eff,820,1
9a,negativefb,eff,708,1
9a,negativefb,noneff,764,0
9a,negativefb,eff,776,1
9a,negativefb,noneff,954,0
9a,negativefb,noneff,440,0
9a,negativefb,eff,683,1
9a,negativefb,eff,619,1
9a,negativefb,noneff,1488,1
9a,negativefb,eff,761,0
9a,negativefb,noneff,793,1
9a,negativefb,noneff,873,0
9a,negativefb,noneff,708,1
9a,negativefb,eff,1062,1
9a,negativefb,eff,719,1
9a,negativefb,noneff,643,0
9a,negativefb,eff,700,1
9a,negativefb,eff,871,1
9a,negativefb,noneff,592,1
9a,negativefb,eff,930,1
9a,negativefb,noneff,760,1
9a,negativefb,eff,676,0
9a,negativefb,eff,731,0
9a,negativefb,eff,711,0
9a,negativefb,eff,918,1
9a,negativefb,noneff,784,1
9a,negativefb,noneff,923,0
9a,negativefb,noneff,835,0
9a,negativefb,noneff,1160,1
9a,negativefb,noneff,674,1
9a,negativefb,noneff,608,1
9a,negativefb,noneff,1209,1
9a,negativefb,eff,615,1
9a,negativefb,noneff,638,1
9a,negativefb,eff,693,0
